tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,parentTconst,seasonNumber,episodeNumber
tt0094030,tvEpisode,Encounter at Farpoint,Encounter at Farpoint,0,1987,\N,92,"Action,Adventure,Mystery",tt0092455,1,1
tt0094982,tvEpisode,"Dekalog, jeden","Dekalog, jeden",0,1989,\N,53,Drama,tt0092337,1,1
tt0094983,tvEpisode,"Dekalog, dziesiec","Dekalog, dziesiec",0,1989,\N,57,Drama,tt0092337,1,10
tt0094984,tvEpisode,"Dekalog, dwa","Dekalog, dwa",0,1989,\N,57,Drama,tt0092337,1,2
tt0094985,tvEpisode,"Dekalog, trzy","Dekalog, trzy",0,1989,\N,56,Drama,tt0092337,1,3
tt0094986,tvEpisode,"Dekalog, cztery","Dekalog, cztery",0,1989,\N,55,Drama,tt0092337,1,4
tt0094987,tvEpisode,"Dekalog, piec","Dekalog, piec",0,1989,\N,57,Drama,tt0092337,1,5
tt0094988,tvEpisode,"Dekalog, szesc","Dekalog, szesc",0,1989,\N,58,Drama,tt0092337,1,6
tt0094989,tvEpisode,"Dekalog, siedem","Dekalog, siedem",0,1989,\N,55,Drama,tt0092337,1,7
tt0094990,tvEpisode,"Dekalog, osiem","Dekalog, osiem",0,1989,\N,55,Drama,tt0092337,1,8
tt0094991,tvEpisode,"Dekalog, dziewiec","Dekalog, dziewiec",0,1989,\N,58,Drama,tt0092337,1,9
tt0098286,tvEpisode,"Good News, Bad News","Good News, Bad News",0,1989,\N,23,Comedy,tt0098904,1,1
tt0100216,tvEpisode,The Mysterious Affair at Styles,The Mysterious Affair at Styles,0,1990,\N,103,"Crime,Drama,Mystery",tt0094525,3,1
tt0110014,tvEpisode,Hercule Poirot's Christmas,Hercule Poirot's Christmas,0,1994,\N,100,"Crime,Drama,Mystery",tt0094525,6,1
tt0111281,tvEpisode,All Good Things...,All Good Things...,0,1994,\N,105,"Action,Adventure,Mystery",tt0092455,7,25
tt0162905,tvEpisode,Cause and Effect,Cause and Effect,0,1992,\N,46,"Action,Adventure,Mystery",tt0092455,5,18
