tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,rating
tt0047708,tvSeries,Alfred Hitchcock Presents,Alfred Hitchcock Presents,0,1955,1962,25,"Comedy,Crime,Drama",9
tt0052520,tvSeries,The Twilight Zone,The Twilight Zone,0,1959,1964,51,"Drama,Fantasy,Horror",
tt0053488,tvSeries,The Bugs Bunny Show,The Bugs Bunny Show,0,1960,1975,30,"Animation,Comedy",
tt0062588,tvSeries,Mister Rogers' Neighborhood,MisteRogers' Neighborhood,0,1968,2001,30,"Family,Fantasy,Music",
tt0063929,tvSeries,Monty Python's Flying Circus,Monty Python's Flying Circus,0,1969,1974,30,Comedy,
tt0070644,tvMiniSeries,Scenes from a Marriage,Scener ur ett äktenskap,0,1973,1973,283,Drama,
tt0071075,tvSeries,The World at War,The World at War,0,1973,1976,52,"Documentary,History,War",
tt0072500,tvSeries,Fawlty Towers,Fawlty Towers,0,1975,1979,30,Comedy,
tt0074006,tvMiniSeries,"I, Claudius","I, Claudius",0,1976,1976,669,"Biography,Drama,History",
tt0075520,tvMiniSeries,Jesus of Nazareth,Jesus of Nazareth,0,1977,1977,382,"Biography,Drama,History",
tt0075537,tvSeries,Mind Your Language,Mind Your Language,0,1977,1986,30,Comedy,
tt0080297,tvMiniSeries,Tinker Tailor Soldier Spy,Tinker Tailor Soldier Spy,0,1979,1979,290,"Drama,Thriller",
tt0080306,tvSeries,Yes Minister,Yes Minister,0,1980,1984,60,Comedy,
tt0081834,tvMiniSeries,Das Boot,Das Boot,0,1985,1987,293,"Drama,Thriller,War",
tt0081846,tvSeries,Cosmos,Cosmos,0,1980,1980,60,Documentary,
tt0081912,tvSeries,Only Fools and Horses....,Only Fools and Horses....,0,1981,2003,95,Comedy,
tt0083390,tvMiniSeries,Brideshead Revisited,Brideshead Revisited,0,1981,1981,659,"Drama,Romance",
tt0086661,tvSeries,The Adventures of Sherlock Holmes,The Adventures of Sherlock Holmes,0,1984,1985,60,"Crime,Drama,Mystery",
tt0086831,tvSeries,"Yes, Prime Minister","Yes, Prime Minister",0,1986,1987,30,Comedy,
tt0088484,tvSeries,Blackadder II,Blackadder II,0,1986,1986,176,Comedy,
tt0088509,tvSeries,Dragon Ball,Dragon Ball: Doragon bôru,0,1986,1989,24,"Action,Adventure,Animation",
tt0090509,tvSeries,The Return of Sherlock Holmes,The Return of Sherlock Holmes,0,1986,1988,60,"Crime,Drama,Mystery",
tt0092324,tvSeries,Blackadder the Third,Blackadder the Third,0,1987,1987,180,Comedy,
tt0092337,tvMiniSeries,Dekalog,Dekalog,0,1989,1990,572,Drama,
tt0092455,tvSeries,Star Trek: The Next Generation,Star Trek: The Next Generation,0,1987,1994,44,"Action,Adventure,Mystery",
tt0094517,tvSeries,Mystery Science Theater 3000,Mystery Science Theater 3000,0,1988,1999,92,"Comedy,Sci-Fi",
tt0094525,tvSeries,Poirot,Poirot,0,1989,2013,100,"Crime,Drama,Mystery",
tt0096548,tvSeries,Blackadder Goes Forth,Blackadder Goes Forth,0,1989,1989,175,"Comedy,War",
tt0096639,tvMiniSeries,Lonesome Dove,Lonesome Dove,0,1989,1989,384,"Adventure,Drama,Western",
tt0096657,tvSeries,Mr. Bean,Mr. Bean,0,1990,1995,350,"Comedy,Family",
tt0096697,tvSeries,The Simpsons,The Simpsons,0,1989,\N,22,"Animation,Comedy",
tt0098769,tvMiniSeries,The Civil War,The Civil War,0,1990,1990,680,"Documentary,History,War",
tt0098825,tvMiniSeries,House of Cards,House of Cards,0,1990,1990,226,Drama,
tt0098904,tvSeries,Seinfeld,Seinfeld,0,1989,1998,22,Comedy,
tt0098936,tvSeries,Twin Peaks,Twin Peaks,0,1990,1991,47,"Crime,Drama,Mystery",
tt0103359,tvSeries,Batman: The Animated Series,Batman: The Animated Series,0,1992,1995,23,"Action,Adventure,Animation",
tt0103584,tvSeries,X-Men: The Animated Series,X-Men,0,1992,1997,23,"Action,Animation,Family",
tt0106028,tvSeries,Homicide: Life on the Street,Homicide: Life on the Street,0,1993,1999,60,"Crime,Drama,Mystery",
tt0106179,tvSeries,The X-Files,The X Files,0,1993,2018,45,"Crime,Drama,Mystery",
tt0108778,tvSeries,Friends,Friends,0,1994,2004,22,"Comedy,Romance",
tt0108855,tvMiniSeries,The Memoirs of Sherlock Holmes,The Memoirs of Sherlock Holmes,0,1994,1994,306,"Crime,Drama,Mystery",
tt0111893,tvMiniSeries,The Beatles Anthology,The Beatles Anthology,0,1995,1996,600,"Documentary,Music",
tt0111958,tvSeries,Father Ted,Father Ted,0,1995,1998,25,Comedy,
tt0112130,tvMiniSeries,Pride and Prejudice,Pride and Prejudice,0,1995,1995,327,"Drama,Romance",
tt0112159,tvSeries,Neon Genesis Evangelion,Shin Seiki Evangelion,0,1995,1996,624,"Action,Animation,Drama",
tt0118266,tvSeries,The New Batman Adventures,The New Batman Adventures,0,1997,1999,30,"Action,Adventure,Animation",
tt0118273,tvSeries,Brass Eye,Brass Eye,0,1997,2001,25,Comedy,
tt0118421,tvSeries,Oz,Oz,0,1997,2003,55,"Crime,Drama,Thriller",
tt0120570,tvMiniSeries,From the Earth to the Moon,From the Earth to the Moon,0,1998,1998,60,"Action,Drama,History",
tt0121220,tvSeries,Dragon Ball Z,Dragon Ball Z: Doragon bôru zetto,0,1989,1996,24,"Action,Adventure,Animation",
tt0121955,tvSeries,South Park,South Park,0,1997,\N,22,"Animation,Comedy",
tt0129690,tvSeries,I'm Alan Partridge,I'm Alan Partridge,0,1997,2002,29,Comedy,
tt0141842,tvSeries,The Sopranos,The Sopranos,0,1999,2007,55,"Crime,Drama",
tt0149460,tvSeries,Futurama,Futurama,0,1999,2013,22,"Animation,Comedy,Sci-Fi",
tt0158417,tvSeries,Mahabharat,Mahabharat,0,1988,1990,45,"Drama,History,War",
tt0163507,tvSeries,Whose Line Is It Anyway?,Whose Line Is It Anyway?,0,1998,2007,30,"Comedy,Game-Show",
tt0182629,tvSeries,Rurouni Kenshin: Wandering Samurai,Rurôni Kenshin -Meiji kenkaku romantan,0,1996,1999,24,"Action,Adventure,Animation",
tt0185906,tvMiniSeries,Band of Brothers,Band of Brothers,0,2001,2001,594,"Action,Drama,History",
tt0187664,tvSeries,Spaced,Spaced,0,1999,2001,25,"Action,Comedy",
tt0193676,tvSeries,Freaks and Geeks,Freaks and Geeks,0,1999,2000,44,"Comedy,Drama",
tt0200276,tvSeries,The West Wing,The West Wing,0,1999,2006,44,Drama,
tt0203082,tvMiniSeries,Rurouni Kenshin: Trust and Betrayal,Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,0,1999,\N,118,"Action,Adventure,Animation",
tt0213338,tvSeries,Cowboy Bebop,Kaubôi bibappu,0,1998,1999,24,"Action,Adventure,Animation",
tt0214341,tvSeries,Dragon Ball Z,Dragon Ball Z,0,1996,2003,24,"Action,Adventure,Animation",
tt0229889,tvSeries,El Chavo del Ocho,El Chavo del Ocho,0,1972,1984,30,"Comedy,Family,Fantasy",
tt0237123,tvSeries,Coupling,Coupling,0,2000,2004,30,"Comedy,Romance",
tt0248654,tvSeries,Six Feet Under,Six Feet Under,0,2001,2005,55,"Comedy,Drama",
tt0262150,tvSeries,Black Books,Black Books,0,2000,2004,25,Comedy,
tt0264235,tvSeries,Curb Your Enthusiasm,Curb Your Enthusiasm,0,2000,\N,28,Comedy,
tt0275137,tvSeries,Justice League,Justice League,0,2001,2004,22,"Action,Adventure,Animation",
tt0278238,tvSeries,Samurai Jack,Samurai Jack,0,2001,2017,25,"Action,Adventure,Animation",
tt0280249,tvSeries,Dragon Ball,Dragon Ball,0,1995,2003,24,"Action,Adventure,Animation",
tt0286486,tvSeries,The Shield,The Shield,0,2002,2008,47,"Crime,Drama,Thriller",
tt0290978,tvSeries,The Office,The Office,0,2001,2003,30,"Comedy,Drama",
tt0296310,tvMiniSeries,The Blue Planet,The Blue Planet,0,2001,2001,389,Documentary,
tt0303461,tvSeries,Firefly,Firefly,0,2002,2003,44,"Adventure,Drama,Sci-Fi",
tt0306414,tvSeries,The Wire,The Wire,0,2002,2008,59,"Crime,Drama,Thriller",
tt0314979,tvMiniSeries,Battlestar Galactica,Battlestar Galactica,0,2003,2003,183,"Action,Adventure,Drama",
tt0318871,tvSeries,Berserk,Kenpû Denki Berserk,0,1997,1998,22,"Action,Adventure,Animation",
tt0346314,tvSeries,Ghost in the Shell: Stand Alone Complex,Kôkaku kidôtai: Stand Alone Complex,0,2002,2005,24,"Action,Animation,Crime",
tt0348914,tvSeries,Deadwood,Deadwood,0,2004,2006,55,"Crime,Drama,History",
tt0353049,tvSeries,Chappelle's Show,Chappelle's Show,0,2003,2006,22,"Comedy,Music",
tt0367279,tvSeries,Arrested Development,Arrested Development,0,2003,\N,22,Comedy,
tt0380136,tvSeries,QI,QI,0,2003,\N,30,"Comedy,Game-Show",
tt0384766,tvSeries,Rome,Rome,0,2005,2007,90,"Action,Drama,History",
tt0386676,tvSeries,The Office,The Office,0,2005,2013,22,Comedy,
tt0387764,tvSeries,Peep Show,Peep Show,0,2003,2015,25,Comedy,
tt0388629,tvSeries,One Piece,One Piece,0,1999,\N,24,"Action,Adventure,Animation",
